NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
BP  Thomastown - Keon Parade,BP,72 Keon Parade,Thomastown,Victoria,-37.6955199999999,145.022315
BP  Gladstone Park,BP,Cnr Gladstone Park and Circular Road,Gladstone Park,Victoria,-37.6892579999999,144.885909
BP Parks,BP,65 Grant Street,Maddingley,Victoria,-37.684492,144.433398
BP 2Go Melton,BP,431-437 High Street,Melton,Victoria,-37.6841029999999,144.577305
BP  Thomastown - High Street,BP,119-123 High Street,Thomastown,Victoria,-37.683874843,145.012958061
BP Campbellfield,BP,1489 Sydney Road,Campbellfield,Victoria,-37.68306,144.956639
BP 2Go Diamond Creek,BP,274 Diamond Creek Road,Diamond Creek,Victoria,-37.680292,145.122979
BP Connect The Tulla,BP,Arrival Drive and Centre Road,Melbourne Airport,Victoria,-37.670743,144.853905
BP  Calder Inbound,BP,1262 Calder Freeway,Keilor North,Victoria,-37.665244,144.7537
BP  Calder Outbound,BP,937 Calder Freeway,Calder Park,Victoria,-37.6650959999999,144.747866
BP Healesville,BP,66 Maroondah Highway,Healesville,Victoria,-37.66183,145.513166
BP Connect Northpoint,BP,Cnr Scanlon Drive and Cooper Street,Epping,Victoria,-37.6479209999999,144.993224
BP Bulla,BP,84 Bulla Road,Bulla,Victoria,-37.63706,144.805456
BP Outbound,BP,171-173 Hume Highway,Somerton,Victoria,-37.6288519999999,144.947712
BP Craigieburn,BP,72 Hanson Road,Craigieburn,Victoria,-37.59218,144.937579
BP East Ballan Travelstop,BP,6511 Western Freeway,Ballan,Victoria,-37.591597,144.241977
BP Ballan Travel Stop,BP,6498 Western Freeway,Ballan,Victoria,-37.590739,144.243616
BP  Sunbury,BP,49-51 Horne Street,Sunbury,Victoria,-37.5806689999999,144.725639
BP Poultons Garage,Independent Fuel Supplies,70 Main Road,Riddells Creek,Victoria,-37.4628049999999,144.675761
Laffan Bros Motors,BP,104-106 High Street,Wallan,Victoria,-37.41099,144.980232
BP Woodend,BP,130 High Street,Woodend,Victoria,-37.3555029999999,144.529631
BP Kangaroo Flat,BP,172A High Street,Kangaroo Flat,Victoria,-36.7983399999999,144.243144
Golden Square,BP,2E Thistle Street,Golden Square,Victoria,-36.7746809999999,144.27009
BP Strathdale,BP,123-125 Condon Street,Bendigo,Victoria,-36.7726699999999,144.304379
BP Long Gully,BP,187 Eaglehawk Road,Long Gully,Victoria,-36.7442809999999,144.25787
Epsom North Bound,BP,589-599 Napier Street,White Hills,Victoria,-36.7209109999999,144.311865
BP Eaglehawk,BP,11 Peg Leg Road,Eaglehawk,Victoria,-36.7178769999999,144.251457
BP Epsom,BP,Cnr Midland Highway and Taylor Street,Epsom,Victoria,-36.716922,144.313906
BP South Shepparton,BP,8042 Goulburn Valley Highway,Kialla,Victoria,-36.407162,145.394461
BP Mooroopna McLeannan Street,BP,107-109 McLennan Street,Mooroopna,Victoria,-36.395394,145.357455
BP Mooroopna,BP,53 O'Brien Street,Mooroopna,Victoria,-36.3874309999999,145.35635
Pat & Tina ,BP,176 Numurkah Road,Shepparton,Victoria,-36.3541559999999,145.401534
Kerang,BP,9511 Murray Valley Highway,Kerang,Victoria,-35.750991799,143.924646705
BP Coonalpyn,BP,1 Poyntz Terrace,Coonalpyn,South Australia,-35.693417,139.855209592
BP South Coast Marine,BP,25 Hutchinson Street,Goolwa,South Australia,-35.5054,138.781105
